Timestamp,Do you consent to giving your sensitive information for us to in research? Use of your submitted info will be aligned with the Data Privacy Form above.,What is your current grade level?,What is your strand?,How many school works are provided by your core subjects per week?,How much time does it take you to finish EACH school work given by your core subjects?,How difficult are these core subject school works in general?,How much effort do you put into these school works? ,What is the general quality of your output in these core subject school works?,How many school works are provided by your specialization subjects per week?,How much time does it take you to finish EACH school work given by your specialization subjects?,How difficult are these strand related school works in general?,How much effort do you put into these school works? ,What is the general quality of your output in these strand subject school works?
09/03/2021 15:53:49,Yes,12,HUMSS,4 per week,4 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards,3 per week,4 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards
09/03/2021 15:53:55,Yes,12,HUMSS,4 per week,2 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards,3 per week,2 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Not much (I just follow the instructions without really looking at the criteria ),Not within my standards but it has some quality in it
09/03/2021 15:54:30,Yes,12,HUMSS,2 per week,2 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards,2 per week,2 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards
09/03/2021 15:54:40,Yes,12,HUMSS,4 per week,2 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Not within my standards but it has some quality in it,3 per week,1 Hour,Very Easy (Can answer/solve/create the FLT right away with no hindrances),Standard amount (I just try to meet the criteria given),Meets my standards
11/03/2021 08:38:03,Yes,12,HUMSS,2 per week,2 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards,2 per week,2 Hours,Very Difficult (unable to answer/solve/create the FLT entirely),Standard amount (I just try to meet the criteria given),Meets my standards
11/03/2021 08:40:04,Yes,12,HUMSS,2 per week,1 Hour,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards,3 per week,2 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards
11/03/2021 08:42:12,Yes,12,STEM,2 per week,2 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards,4 per week,3 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards
11/03/2021 08:42:17,Yes,12,ABM,2 per week,1 Hour,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards,2 per week,1 Hour,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Exceptional
11/03/2021 08:42:22,Yes,12,STEM,2 per week,2 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards,3 per week,1 Hour,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards
11/03/2021 08:42:30,Yes,12,STEM,3 per week,4 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards,4 per week,4 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards
11/03/2021 08:43:51,Yes,12,HUMSS,2 per week,2 Hours,Easy (Some concepts needed a bit of clarification),Not much (I just follow the instructions without really looking at the criteria ),Meets my standards,3 per week,2 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Little (Just as long as I do it),Very substandard
11/03/2021 08:46:34,Yes,12,STEM,2 per week,4 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Not much (I just follow the instructions without really looking at the criteria ),Meets my standards,3 per week,4 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards
11/03/2021 08:55:27,Yes,12,STEM,2 per week,2 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Exceptional,2 per week,3 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Exceptional
11/03/2021 09:01:30,Yes,12,STEM,2 per week,3 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards,2 per week,3 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards
11/03/2021 14:00:05,Yes,12,STEM,3 per week,4 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards,3 per week,4 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards
12/03/2021 11:42:23,Yes,11,ABM,4 per week,4 Hours,Very Difficult (unable to answer/solve/create the FLT entirely),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Exceptional,4 per week,4 Hours,Very Difficult (unable to answer/solve/create the FLT entirely),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards
12/03/2021 12:26:10,Yes,11,ABM,1 per week,4 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards,1 per week,4 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards
12/03/2021 12:28:04,Yes,11,HUMSS,4 per week,3 Hours,Easy (Some concepts needed a bit of clarification),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards,2 per week,2 Hours,Easy (Some concepts needed a bit of clarification),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards
12/03/2021 19:04:20,Yes,11,ABM,2 per week,1 Hour,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards,2 per week,30mins-1hr,Easy (Some concepts needed a bit of clarification),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards
15/03/2021 08:44:08,Yes,12,STEM,3 per week,4 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Not within my standards but it has some quality in it,3 per week,4 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Not within my standards but it has some quality in it
15/03/2021 10:15:16,Yes,11,HUMSS,2 per week,2 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards,1 per week,1 Hour,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards
16/03/2021 10:53:41,Yes,11,STEM,3 per week,2 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards,3 per week,2 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards
18/03/2021 08:29:56,Yes,12,HUMSS,2 per week,1 Hour,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards,2 per week,1 Hour,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards
18/03/2021 08:32:54,Yes,12,STEM,3 per week,3 Hours,Very Difficult (unable to answer/solve/create the FLT entirely),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards,3 per week,3 Hours,Very Difficult (unable to answer/solve/create the FLT entirely),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards
18/03/2021 08:34:24,Yes,11,STEM,4 per week,2 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards,2 per week,1 Hour,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards
18/03/2021 08:35:04,Yes,12,ABM,2 per week,4 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards,2 per week,4 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Not within my standards but it has some quality in it
18/03/2021 08:37:03,Yes,11,STEM,5 per week,2 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Exceptional,4 per week,3 Hours,Very Difficult (unable to answer/solve/create the FLT entirely),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Exceptional
18/03/2021 10:28:56,Yes,11,STEM,2 per week,2 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards,2 per week,2 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards
18/03/2021 11:26:12,Yes,11,ABM,4 per week,3 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Exceptional,4 per week,3 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Exceptional
18/03/2021 11:26:31,Yes,11,STEM,3 per week,2 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Exceptional,1 per week,2 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards
18/03/2021 11:26:39,Yes,11,HUMSS,2 per week,4 Hours,Easy (Some concepts needed a bit of clarification),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards,2 per week,4 Hours,Easy (Some concepts needed a bit of clarification),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards
18/03/2021 11:26:46,Yes,11,STEM,3 per week,2 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards,2 per week,2 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Exceptional
18/03/2021 11:26:46,Yes,11,ABM,4 per week,3 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Exceptional,3 per week,3 Hours,Easy (Some concepts needed a bit of clarification),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Exceptional
18/03/2021 11:27:18,Yes,11,ABM,3 per week,2 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards,3 per week,1 Hour,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards
18/03/2021 11:27:20,Yes,11,ABM,2 per week,2 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards,2 per week,2 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards
18/03/2021 11:27:27,Yes,11,ABM,4 per week,3 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Exceptional,2 per week,3 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Exceptional
18/03/2021 11:27:27,Yes,11,STEM,4 per week,3 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards,4 per week,3 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards
18/03/2021 11:27:33,Yes,11,ABM,2 per week,2 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards,2 per week,2 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards
18/03/2021 11:28:06,Yes,11,ABM,4 per week,2 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards,1 per week,1 Hour,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards
18/03/2021 11:28:12,Yes,11,HUMSS,2 per week,3 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards,1 per week,1 Hour,Very Easy (Can answer/solve/create the FLT right away with no hindrances),Standard amount (I just try to meet the criteria given),Meets my standards
18/03/2021 11:28:15,Yes,11,HUMSS,3 per week,2 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards,1 per week,1 Hour,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards
18/03/2021 11:29:00,Yes,11,ABM,3 per week,3 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards,3 per week,3 Hours,Difficult (most of the discussed concepts in the FLT are unclear and assistance is needed from time to time),Standard amount (I just try to meet the criteria given),Meets my standards
18/03/2021 11:29:01,Yes,11,HUMSS,3 per week,2 Hours,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards,3 per week,1 Hour,Easy (Some concepts needed a bit of clarification),Standard amount (I just try to meet the criteria given),Meets my standards
18/03/2021 11:30:03,Yes,11,ABM,2 per week,1 Hour,Easy (Some concepts needed a bit of clarification),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards,2 per week,1 Hour,Easy (Some concepts needed a bit of clarification),"A lot (I make sure that every FLT should have the correct answers, it meets the criteria, and it has a decent design)",Meets my standards